,acc,loss,val_acc,val_loss
0,0.763966924215997,0.6134218735269624,0.7848419094854309,0.5573087058596484
1,0.7986159008674909,0.5276321585840749,0.8065716057036578,0.5088246145901736
2,0.8097677410364408,0.4988849084503781,0.8076875387476752,0.5089467602639337
3,0.8186334152224525,0.4740830749281153,0.8173899566026038,0.478638804572307
4,0.8272355990917334,0.45127870638162493,0.8202417854928704,0.4784076376945723
5,0.8360470252722831,0.42921946137023154,0.8239925604463733,0.46620433892955415
6,0.8454474298074165,0.4060060204951262,0.8247365158090515,0.4612574368918526
7,0.8539798662399157,0.3828182303446778,0.82606943583385,0.46124810748268785
8,0.8631942776112217,0.359949039281155,0.8306571605703658,0.46502125743598727
9,0.8723544409747561,0.3370691461728182,0.8310291382517049,0.4645946589635162
10,0.8815456032004682,0.314619318506038,0.8337569745815251,0.4675474622496447
11,0.8898145493166985,0.29501998145784997,0.8359578425294483,0.47684202884489607
