,High,Low,Medium
control,5.643340857786061e-05,0.001407720234126164,0.0
aw,-0.00016930022573369286,0.0017781729273171898,0.00020708221163801
hour,-2.8216704288985817e-05,-0.0004445432318291864,0.0
amaz,-8.465011286684643e-05,0.004223160702378381,0.004141644232760422
stomach,-2.8216704288985817e-05,0.0009631770022968666,0.001656657693104191
remov,5.643340857786061e-05,0.0026672593909757847,0.0
birth,-2.8216704288985817e-05,0.00022227161591470423,0.0
cramp,0.0,0.0006668148477440017,0.0
experienc,-8.465011286684643e-05,0.0005927243091057299,0.00041416442327602
went,8.46501128667354e-05,-7.409053863816073e-05,0.0
thought,-5.643340857797163e-05,0.00044454323182929745,0.0
doe,0.0,0.0007409053863821624,0.00020708221163801
night,-2.8216704288985817e-05,0.00014818107727643248,0.00020708221163801
nausea,-5.643340857797163e-05,0.0003704526931911367,0.00062124663491403
anxieti,-0.00011286681715583224,7.409053863827175e-05,0.0
doesnt,2.8216704288874794e-05,0.0015559013114025966,0.00041416442327602
mood,-0.00011286681715583224,0.0012595391568497316,0.00041416442327602
everi,-0.00011286681715583224,-0.0003704526931910257,0.0
want,2.8216704288874794e-05,0.00014818107727643248,0.0
cri,2.8216704288874794e-05,0.0005186337704675692,0.00020708221163801
think,-5.643340857797163e-05,0.0005186337704675692,0.0
4,-2.8216704288985817e-05,0.00014818107727643248,0.00020708221163801
lot,0.0,0.0007409053863821624,0.00020708221163801
wonder,-5.643340857797163e-05,0.003185893161443354,0.002277904328018221
thing,-0.00011286681715583224,0.0005927243091057299,0.0
howev,2.8216704288874794e-05,7.409053863827175e-05,0.00041416442327602
problem,2.8216704288874794e-05,-0.00014818107727632146,0.0
tire,0.0,0.0007409053863821624,0.00041416442327602
swing,-2.8216704288985817e-05,0.0006668148477440017,0.0
ago,-5.643340857797163e-05,0.0006668148477440017,0.0
notic,-5.643340857797163e-05,0.0005927243091057299,0.0
prescrib,0.0,0.0005186337704675692,0.0
gave,-8.465011286684643e-05,0.0008890864636585949,0.00020708221163801
sex,2.8216704288874794e-05,0.0008890864636585949,0.0
5,-2.8216704288985817e-05,0.00022227161591470423,0.0
burn,-0.0002539503386005393,0.004074979625101949,0.0
bodi,0.0,-0.00029636215455275394,0.0
dose,0.0,7.409053863827175e-05,0.0
recommend,-8.465011286684643e-05,0.0007409053863821624,0.00062124663491403
know,-0.00011286681715583224,0.00022227161591470423,0.0
chang,0.0,-0.0002222716159145932,0.0
experi,-2.8216704288985817e-05,0.0,0.0
miracl,-2.8216704288985817e-05,0.0036304363932726513,0.002484986539656231
6,-2.8216704288985817e-05,0.00029636215455286496,0.0
acn,2.8216704288874794e-05,0.0007409053863821624,0.0
someth,2.8216704288874794e-05,0.0006668148477440017,0.000828328846552151
symptom,2.8216704288874794e-05,0.0006668148477440017,0.0
gone,0.00011286681715572122,0.0027413499296140564,0.002692068751294241
need,-0.00011286681715583224,0.0009631770022968666,0.00041416442327602
vomit,-5.643340857797163e-05,0.0010372675409350274,0.0
anoth,0.0,0.0005927243091057299,0.0
away,-2.8216704288985817e-05,0.00029636215455286496,0.0
differ,-5.643340857797163e-05,7.409053863827175e-05,0.0
becam,0.00011286681715572122,0.0008149959250204342,0.0
taken,5.643340857786061e-05,0.00014818107727643248,0.0
clear,-2.8216704288985817e-05,0.0017781729273171898,0.001035411058190161
happi,-0.00011286681715583224,0.0030377120841669214,0.001863739904742201
anyth,2.8216704288874794e-05,0.0006668148477440017,0.0
diarrhea,-0.00011286681715583224,0.0013336296954878923,0.00062124663491403
reaction,-8.465011286684643e-05,0.0012595391568497316,0.00020708221163801
pregnant,2.8216704288874794e-05,0.00029636215455286496,0.0
end,0.0,0.0010372675409350274,0.0
10,-2.8216704288985817e-05,0.0005186337704675692,0.0
normal,-2.8216704288985817e-05,0.0008890864636585949,0.00020708221163801
sick,-5.643340857797163e-05,0.00029636215455286496,0.0
told,-5.643340857797163e-05,0.0005186337704675692,0.00020708221163801
wast,0.00016930022573358183,0.0011113580795732991,0.0
say,0.0,0.00014818107727643248,0.0
increas,0.0,0.00044454323182929745,0.0
second,-2.8216704288985817e-05,0.0005927243091057299,0.0
later,0.00014108352144470704,0.0003704526931911367,0.0
lost,8.46501128667354e-05,0.0010372675409350274,0.00020708221163801
develop,0.0,0.0003704526931911367,0.00020708221163801
sure,-2.8216704288985817e-05,0.0005186337704675692,0.00020708221163801
blood,5.643340857786061e-05,0.00044454323182929745,0.0
drive,0.0,0.00044454323182929745,0.0
infect,-0.00011286681715583224,0.00044454323182929745,0.0
havent,8.46501128667354e-05,0.0007409053863821624,0.0
mg,5.643340857786061e-05,0.0011113580795732991,0.00020708221163801
abl,-0.00016930022573369286,0.002000444543231894,0.001035411058190161
spot,8.46501128667354e-05,0.00014818107727643248,0.0
thank,2.8216704288874794e-05,0.0020745350818700548,0.002070822116380211
long,-5.643340857797163e-05,0.0007409053863821624,0.0
itch,-0.00014108352144470704,0.0016299918500407573,0.00020708221163801
nauseous,5.643340857786061e-05,0.0007409053863821624,0.00062124663491403
pound,-2.8216704288985817e-05,0.00022227161591470423,0.0
hate,0.0,0.0006668148477440017,0.00020708221163801
said,8.46501128667354e-05,-7.409053863816073e-05,0.0
suffer,-5.643340857797163e-05,0.0,0.00020708221163801
